pop,age,proportion,new_prop,predict
FSW,15,0.000116083867172169,0.000498685799999998,0.000116083867172169
FSW,16,0.0001583386961975,0.000498685799999998,0.0001583386961975
FSW,17,0.000214127849686108,0.000498685799999998,0.000214127849686108
FSW,18,0.000287097982924122,0.000498685799999998,0.000287097982924122
FSW,19,0.000381643632713953,0.000498685799999998,0.000381643632713953
FSW,20,0.000502987040036025,0.000498685799999998,0.000502987040036025
FSW,21,0.000657243747941284,0.000498685799999998,0.000657243747941284
FSW,22,0.000851465442124832,0.000498685799999998,0.000851465442124832
FSW,23,0.00109365031704692,0.000498685799999998,0.00109365031704692
FSW,24,0.00139271045055807,0.000498685799999998,0.00139271045055807
FSW,25,0.00175838544402054,0.000498685799999998,0.00175838544402054
FSW,26,0.00220109212413505,0.000498685799999998,0.00220109212413505
FSW,27,0.00273170158056293,0.000498685799999998,0.00273170158056293
FSW,28,0.00336123736226838,0.000498685799999998,0.00336123736226838
FSW,29,0.0041004923410781,0.000498685799999998,0.0041004923410781
FSW,30,0.00495956654798539,0.000498685799999998,0.00495956654798539
FSW,31,0.00594733405929354,0.000498685799999998,0.00594733405929354
FSW,32,0.00707085349418925,0.000498685799999998,0.00707085349418925
FSW,33,0.00833474349437479,0.000498685799999998,0.00833474349437479
FSW,34,0.00974055118647693,0.000498685799999998,0.00974055118647693
FSW,35,0.0112861474876086,0.016265356,0.0112861474876086
FSW,36,0.0129651875667313,0.014238415,0.0129651875667313
FSW,37,0.0147666771928976,0.02003373,0.0147666771928976
FSW,38,0.0166746855353605,0.025966852,0.0166746855353605
FSW,39,0.0186682418235268,0.03164506,0.0186682418235268
FSW,40,0.0207214469288472,0.036758055,0.0207214469288472
FSW,41,0.0228038214580151,0.041088275,0.0228038214580151
FSW,42,0.0248808997002124,0.044507187,0.0248808997002124
FSW,43,0.0269150643981691,0.046963674,0.0269150643981691
FSW,44,0.0288666017282557,0.048468878,0.0288666017282557
FSW,45,0.0306949402012841,0.049080371,0.0306949402012841
FSW,46,0.0323600226756307,0.048887405,0.0323600226756307
FSW,47,0.0338237485605626,0.047998161,0.0338237485605626
FSW,48,0.0350514147230956,0.046529371,0.0350514147230956
FSW,49,0.0360130795105058,0.044598326,0.0360130795105058
FSW,50,0.0366847752451143,0.042317078,0.0366847752451143
FSW,51,0.0370495007136565,0.039788535,0.0370495007136565
FSW,52,0.0370979362923176,0.037104115,0.0370979362923176
FSW,53,0.0368288397160736,0.034342615,0.0368288397160736
FSW,54,0.0362490990295942,0.031570009,0.0362490990295942
FSW,55,0.0353734395688915,0.028839892,0.0353734395688915
FSW,56,0.034223802375192,0.026194371,0.034223802375192
FSW,57,0.0328284306698939,0.023665214,0.0328284306698939
FSW,58,0.0312207174795903,0.021275133,0.0312207174795903
FSW,59,0.0294378800054497,0.019039102,0.0294378800054497
FSW,60,0.0275195340531936,0.016965634,0.0275195340531936
FSW,61,0.0255062443747459,0.015057975,0.0255062443747459
FSW,62,0.0234381241627778,0.01331519,0.0234381241627778
FSW,63,0.0213535496497281,0.011733118,0.0213535496497281
FSW,64,0.0192880446165036,0.010305205,0.0192880446165036
FSW,65,0.0172733756983128,0.009023202,0.0172733756983128
FSW,66,0.0153368839182753,0.007877749,0.0153368839182753
FSW,67,0.0135010621415313,0.006858847,0.0135010621415313
FSW,68,0.0117833732930833,0.005956239,0.0117833732930833
FSW,69,0.0101962912072516,0.005159701,0.0101962912072516
FSW,70,0.00874753560866827,0.004459264,0.00874753560866827
FSW,71,0.00744046540777504,0.003845376,0.00744046540777504
FSW,72,0.00627459037622723,0.003309011,0.00627459037622723
FSW,73,0.00524616022596515,0.002841746,0.00524616022596515
FSW,74,0.0043487918006423,0.002435794,0.0043487918006423
FSW,75,0.00357409898562129,0.002084019,0.00357409898562129
FSW,76,0.00291229544226803,0.001779934,0.00291229544226803
FSW,77,0.00235274673358347,0.001517681,0.00235274673358347
FSW,78,0.00188445522081087,0.001292,0.00188445522081087
FSW,79,0.00149646774068317,0.001098192,0.00149646774068317
FSW,80,0.00117820209508951,0.000932085,0.00117820209508951
